wl,GL,G,BL,B,YL,Y,C,bkg
197.5,3843.75,4343.75,-205.65,-159.887,69.752,-1516.667,-691.358,-1793.103
197.71,454.14,507.006,-261.538,-303.419,81.985,-2415.789,-591.765,-983.186
197.92,451.829,461.585,-195.333,-210.667,82.809,-647.619,-655.932,-2789.744
198.13,463.333,480,-166.667,-229.545,87.732,-158.031,-407.263,-1495.833
198.34,356.148,301.639,-107.595,-196.203,81.623,-424,-468.671,-7320
198.55,358.824,331.674,-106.25,-207.5,81.102,-27600,-429.003,12666.667
198.76,3.70E+02,3.69E+02,-1.53E+02,-2.06E+02,7.57E+01,6.73E+02,-384.399,-9.63E+15
198.97,1170.833,1126.389,-203.012,-281.928,69.077,459.633,-421.785,1891.045
199.18,5720,5560,-1039.583,-887.5,59.632,-1050,-428.272,1370.833
199.4,4183.333,3927.778,970.769,824.615,56.244,-1964,-535.197,567.22
199.61,874.627,956.716,1256.41,1166.667,65.198,341.618,-1321.805,576.754
199.82,304.487,363.462,513.402,480.412,63.99,505.405,-1160.14,632.642
200.03,-1082.857,-1314.286,1582.143,1667.857,67.037,648.276,-947.059,448.264
200.24,392.958,561.972,-1087.755,-804.082,87.133,950.769,-2062.5,572.973
200.45,203.623,231.159,-279.021,-234.965,91.409,1543.182,-8833.333,542.339
200.66,374.757,439.806,-1402.941,-1279.412,100.097,798.913,28716.667,520.553
200.87,194.393,185.981,2204.762,2542.857,99.102,310.8,3185.455,680
201.08,756.522,726.087,398.02,480.198,100.338,180.482,5529.032,567.873
201.29,670.833,793.75,339.865,379.73,106.02,199.536,2210.39,555.794
201.5,356.436,357.426,402.941,584.314,104.362,195.51,1294.697,674.566
201.72,182.653,225.51,-773.81,-1492.857,101.279,202.004,2098.78,395.925
201.93,256.463,280.272,-237.168,-439.823,106.971,143.449,2037.647,322.111
202.14,754.902,729.412,-537.5,-617.857,113.612,105.33,911.735,305.867
202.35,-1723.077,-2992.308,-695.918,-722.449,118.647,108.4,972.781,278.851
202.56,1564.706,2076.471,-1026.415,-730.189,134.184,111.812,1264.234,352.493
202.77,274.648,505.634,-1414.286,-848.571,136.184,102.387,826.866,338.938
202.98,806.897,1213.793,-594.805,-403.896,145.962,111.497,831.818,528.384
203.19,-639.535,-544.186,-251.034,-156.552,166.746,139.852,500.559,581.383
203.4,632.5,752.5,-175.362,-113.768,175.226,139.451,447.887,480.203
203.61,541.026,605.128,-46.429,-50,191.093,105.198,423.326,461.137
203.82,-279.747,-298.734,-37,-22,202.861,103.542,631.273,642.593
204.04,-410.294,-472.059,-79.111,-50.222,187.179,104.412,1892.857,410.196
204.25,-275.833,-306.667,-37.374,-39.394,197.33,105.149,2134.568,529.817
204.46,585.526,631.579,-50,-13.462,193.289,114.045,1863.83,423.358
